id;name;standard
665;Josina;jozef
666;Augustina;augustinus
667;Heiman;hegman
668;Jacques;jacob
669;Rijk;rijk
670;May;maria
671;Huipje;hugb-
672;Debora;debora
673;Jorgen;
674;Amandus;amandus
675;Florentina;florentius
676;Françoise;franciscus
677;Theodor;theodorus
678;Gesina;gesinus
679;Passchier;paschalis
680;Symen;simon
681;Woutrina;woudheer
682;Aron;aron
683;Jura;george
684;Angenieta;agnes
685;Anton;antonius
686;Aigline;
687;Menno;mein
688;Antonij;antonius
689;Marcel;marcel
690;Rose;roos
691;Oeds;od
692;Alberta;adelbert
693;Mense;mein
694;Damianus;damianus
695;Agnis;agnes
696;Marten;martinus
697;Bauke;bauke
698;Liekeltje;nicolaas
699;Justina;justus
700;Melanie;melania
701;Yvonne;iv
702;Johannis;johannes
703;Michiel;michael
704;Gerrardus;geerhard
705;Judic;judith
706;Allardus;adelhard
707;Diederik;diedrijk
708;Diewertje;diedw-
709;Bart;bert
710;Louis;lodewijk
711;Paul;paulus
712;Job;job
713;Bregje;bert
714;Baafje;bavo
715;Engbert;engbert
716;Jemtje;johannes
717;Beatrix;beatrix
718;Korstaan;christiaan
719;Sijbrand;zegebrand
720;Annegje;anne
721;Gompers;gondbert
722;Marcus;marcus
723;Mourits;maurits
724;Gijsbertina;gijsbert
725;Jenneke;johannes
726;Thimotheus;timotheus
727;Sijbilla;sibylla
728;Kars;chris
729;Rudolph;rodwolf
730;Femmigjen;friedmar
731;Fredericus;friedrijk
732;Allegondis;adelgonda
733;Guillaume;wilhelm
734;Wieptje;wijgb-
735;Janke;johannes
736;Pieters;
737;Wessel;wessel
738;Ary;adriaan
739;Jielda;geldhard
740;Koenraat;koenraad
741;Engelberta;engelbert
742;Bereber;barbara
743;Haring;heer
744;Christoffel;christoffel
745;Menxie;mein
746;Geesje;gesinus
747;Crijn;quirinus
748;Marigje;maria
749;Adolf;adelwolf
750;Gouda;goud
751;Suse;susanna
752;Ruwaard;raadward
753;Rosalia;roos
754;Frederica;friedrijk
755;Margrita;margareta
756;Nela;nel
757;Ester;esther
758;Jurriaan;george
759;Magthilda;machthilde
760;Gabriel;gabriël
761;Freerik;friedrijk
762;Siebrigje;zegeburg
763;Foekje;folk
764;Lucretia;lucretius
765;Hubertina;hugbert
766;Carolus;karel
767;Jannie;johannes
768;Angenita;agnes
769;Wietze;wijd
770;Huiberdina;hugbert
771;Teeuwis;matthias
772;Jozina;jozef
773;Patrick;petrus
774;Matthias;matthias
775;Sietze;zege
776;Bregtje;bert
777;Voske;folk
778;N.;
779;Dieuwertje;diedw-
780;Kuintje;koen
781;Alphonsus;adelfons
782;Constantijn;constant
783;Michael;michael
784;Barbera;barbara
785;Katrina;catharina
786;Antoon;antonius
787;Evarardus;everhard
788;Macheltje;magdalena
789;Leo;leo
790;Amalia;aemilius
791;Ben;bern
792;Zacharias;zacharias
793;Blondine;boud
794;Regnerus;reingeer
795;Hildegonda;hildegonda
796;Joortje;george
797;Philipine;filippus
798;Christine;christiaan
799;Eliza;elisabeth
800;Keetje;cornelis
801;Reinardus;reinhard
802;Kniertje;koenera
803;Melis;aemilius
804;Jakomina;jacob
805;Lijntje;lijn
806;Halbe;halb-
807;Hijlke;heil
808;Japke;jacob
809;Imkje;erm
810;Jelle;geld
811;Arijse;
812;Theodores;theodorus
813;Lijsbeth;elisabeth
814;Lubbert;liedbert
815;Margarietha;margareta
816;Jerfaas;geerfas
817;Emerentyane;
818;Charlotta;karel
819;Marselis;marcel
820;Jacobe;jacob
821;Johannettha;johannes
822;Grada;geerhard
823;Hans;johannes
824;Lydia;adelheid
825;Warrenaar;warnheer
826;Carlus;karel
827;Gijsbertha;gijsbert
828;Florentia;florentius
829;Margrieta;margareta
830;Philippina;filippus
831;Mathijs;matthias
832;Sijke;zege
833;Jurrie;george
834;Naatje;anne
835;Sjoerd;zegeward
836;Richard;rijkhard
837;Teuna;antonius
838;Dieka;heimrijk
839;Bartina;bert
840;Gerharda;geerhard
841;Dooretea;dorothea
842;Sebilla;sibylla
843;Zegerus;zegeheer
844;Marianus;marinus
845;Christiane;christiaan
846;Mathildis;machthilde
847;Christinus;christiaan
848;Margareta;margareta
849;Reijnier;reingeer
850;Hermannus;heerman
851;Ephrahiem;
852;Hagen;heg
853;Godefridus;godfried
854;Bertina;bert
855;Casparus;casper
856;Mathilde;machthilde
857;Huiberta;hugbert
858;Arthur;arthur
859;Nicola;nicolaas
860;Martje;maria
861;Hestra;hester
862;Hubertine;hugbert
863;Lambert;lambert
864;Guillelmine;wilhelm
865;Garritjen;geerhard
866;Justus;justus
867;Angelina;engel
868;James;jacob
869;Piet;petrus
870;Willemptje;wilhelm
871;Columba;
872;Matheus;matthias
873;Johanné;johannes
874;Josephine;jozef
875;Ingetje;eng
876;Frederich;friedrijk
877;Betsy;elisabeth
878;Hillechien;hilde
879;Engebertus;engelbert
880;Jetje;jet
881;André;andries
882;Maurits;maurits
883;Thijsje;matthias
884;Geert;geerhard
885;Annegien;anne
886;Robert;rodbert
887;Gysje;gijs
888;Marta;martha
889;Jakobus;jacob
890;Dieuwke;diedw-
891;Dimetrius;diedw-
892;Idje;id
893;Berdina;bernhard
894;Becker;
895;Gideon;gideon
896;William;wilhelm
897;Dingena;dignus
898;Augustinus;augustinus
899;Maagje;margareta
900;Ibe;ib
901;Sophina;sofia
902;Franklin;franciscus
903;Rhijn;rein
904;Nikolaas;nicolaas
905;Anne;anne
906;Steventje;stefanus
907;Nicoladus;nicolaas
908;Volkert;folkhard
909;Batje;bade
910;Machtelina;machthilde
911;Fransina;franciscus
912;Markus;marcus
913;Joan;johannes
914;Fredrica;friedrijk
915;Juda;judith
916;Berber;barbara
917;Hermijntje;heerman
918;Hortjes;
919;Boukje;bauke
920;Gerbrandus;geerbrand
921;Pancras;pancratius
922;Renier;reingeer
923;Ludovica;lodewijk
924;Margreta;margareta
925;Wiggers;
926;Julius;julius
927;Maike;maria
928;Eelje;el
929;Anja;anne
930;Goudje;goud
931;Maretje;maria
932;Delia;delia
933;Stephania;stefanus
934;Femmetje;friedmar
935;Fenne;ferdinand
936;Roselina;roos
937;Jannetta;johannes
938;Antoine;antonius
939;Gertrudis;geertruida
940;Koosje;jacob
941;Engelbertha;engelbert
942;Aleida;adelheid
943;Karl;karel
944;Karoliene;karel
945;Richardus;rijkhard
946;Dido;dieudonné
947;Feetje;sofia
948;Bruin;brun
949;Femmina;eufemia
950;Anthon;antonius
951;Gerregie;geerhard
952;Cecilia;cecilia
953;Immina;erm
954;Lidewij;liedwijn
955;Siska;cis
956;Daniel;
957;Sijgje;zege
958;Vijgje;fried
959;Cornelius;cornelis
960;Marcelina;marcel
961;Anderijntje;andries
962;Hinke;heim
963;Wietske;wijd
964;Everharda;everhard
965;Krijna;quirinus
966;Castina;catharina
967;Marietje;maria
968;Christiena;christiaan
969;Amerik;emerentia
970;Styntje;stina
971;Meinderd;meinhard
972;Gozewina;gosewijn
973;Rijkje;rijk
974;Anhtonius;antonius
975;Claas;nicolaas
976;Catharine;catharina
977;Elbartus;elbert
978;Jacomijntje;jacob
979;Adolphina;adelwolf
980;Henderijntje;heimrijk
981;Aegidia;egidius
982;Josua;josua
983;Arendina;arnoud
984;Douwe;duif
985;Neeske;agnes
986;Martin;martinus
987;Diedericus;diedrijk
988;Angela;engel
989;Levenloze;
990;Mathilda;machthilde
991;Heijnderijntje;heimrijk
992;Gijbert;gijsbert
993;Rutgers;
994;Riekje;rijk
995;Jurrianus;george
996;Meino;mein
997;Tjitske;died
998;Dijonijsia;dionisius
999;Magtildus;machthilde
1000;Annemietje;annemarie
1001;Kristoffel;christoffel
