Period_start;Period_end;Name;Picture;Picture_saved;Term/Details
1963;1964;Wim den Boer;//upload.wikimedia.org/wikipedia/commons/thumb/b/bd/300JahrFeier_der_ChristianAlbrechtsUniversit%C3%A4t_%28CAU%29_%28Kiel_35.568%29.jpg/62px300JahrFeier_der_ChristianAlbrechtsUniversit%C3%A4t_%28CAU%29_%28Kiel_35.568%29.jpg;pictures/Wim den Boer.jpg;
1964;1965;Donald Johan Kuenen;//upload.wikimedia.org/wikipedia/commons/thumb/4/4f/DJKuenen.jpg/62pxDJKuenen.jpg;pictures/Donald Johan Kuenen.jpg;1
1965;1966;Johan Dankmeijer;//upload.wikimedia.org/wikipedia/commons/thumb/0/01/JohanDankmeijer.jpg/62pxJohanDankmeijer.jpg;pictures/Johan Dankmeijer.jpg;
1966;1967;Klaas Hidding;//upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Klaas_Hidding__1971.jpg/62pxKlaas_Hidding__1971.jpg;pictures/Klaas Hidding.jpg;[6]
1967;1968;Piet Muntendam;//upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Muntendam%2C_prof.__SFA008007339.jpg/62pxMuntendam%2C_prof.__SFA008007339.jpg;pictures/Piet Muntendam.jpg;
1968;1969;Louis Kukenheim Ezn.;;;
1969;1970;Johan Goslings;//upload.wikimedia.org/wikipedia/commons/thumb/c/c4/JGoslings.jpg/62pxJGoslings.jpg;pictures/Johan Goslings.jpg;
1970;1971;Cornelis Soeteman;;;
1971;1972;Willem Roelof Oege Goslings;;;
1972;1976;Dolf Cohen;//upload.wikimedia.org/wikipedia/commons/thumb/9/95/JulianaCohen1975.jpg/62pxJulianaCohen1975.jpg;pictures/Dolf Cohen.jpg;
1976;1979;Donald Johan Kuenen;//upload.wikimedia.org/wikipedia/commons/thumb/4/4f/DJKuenen.jpg/62pxDJKuenen.jpg;pictures/Donald Johan Kuenen.jpg;2
1979;1985;Ton Kassenaar;;;
1985;1991;Jan Beenakker;//upload.wikimedia.org/wikipedia/commons/thumb/3/38/JJMBeenakker.jpg/62pxJJMBeenakker.jpg;pictures/Jan Beenakker.jpg;
1991;1997;Lammert Leertouwer;//upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Lammert_Leertouwer_by_Marike_Bok.tiff/losslesspage162pxLammert_Leertouwer_by_Marike_Bok.tiff.png;pictures/Lammert Leertouwer.jpg;
1997;2001;Willem Albert Wagenaar;//upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Willem_Albert_Wagenaar.tiff/lossypage162pxWillem_Albert_Wagenaar.tiff.jpg;pictures/Willem Albert Wagenaar.jpg;
2001;2007;Douwe Breimer;//upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Douwe_Breimer.tiff/lossypage162pxDouwe_Breimer.tiff.jpg;pictures/Douwe Breimer.jpg;tevens voorzitter CvB
2007;2013;Paul van der Heijden;//upload.wikimedia.org/wikipedia/commons/thumb/b/bf/PaulvanderHeijden.jpg/62pxPaulvanderHeijden.jpg;pictures/Paul van der Heijden.jpg;tevens voorzitter CvB
2013;2021;Carel Stolker;//upload.wikimedia.org/wikipedia/commons/thumb/f/f3/CarelStolker.jpg/62pxCarelStolker.jpg;pictures/Carel Stolker.jpg;tevens voorzitter CvB
2021;;Hester Bijl;//upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Hester_Bijl_2019.jpg/62pxHester_Bijl_2019.jpg;pictures/Hester Bijl.jpg;
